Row #,Species,Count,Location,S/P,Date,LocID,SubID
193,Laughing Dove,2,Hoskote Lake,IN-KA,07 Dec 2014,L1967106,S20826011
194,Barred Cuckoo-Dove,1,Nameri NP,IN-AS,30 Dec 2015,L2182902,S26580921
195,Asian Emerald Dove,1,"Old Magazine House, Ganeshgudi",IN-KA,15 Jan 2014,L2034087,S23676592
196,Mourning Dove,2,Naples beach,US-FL,22 Oct 2014,L3357295,S21780768
197,Orange-breasted Pigeon,2,"West Bengal-Jayanti, BTR",IN-WB,11 Dec 2016,L4012351,S33129502
198,Gray-fronted Green-Pigeon,1,"Bhagavathi Nature Camp, Kudremukh",IN-KA,19 Sep 2015,L3922057,S25131137
199,Ashy-headed Green-Pigeon,1,Nameri NP,IN-AS,30 Dec 2015,L2182902,S26580921
200,Thick-billed Pigeon,2,Gorubathan,IN-WB,19 Jun 2015,L4938776,S31685928
201,Yellow-footed Pigeon,6,Kaziranga NP--Eastern Range,IN-AS,28 Dec 2015,L1131599,S30342446
202,Pin-tailed Pigeon,1,Nameri NP,IN-AS,29 Dec 2015,L2182902,S26580915
203,Wedge-tailed Pigeon,1,Nameri NP,IN-AS,29 Dec 2015,L2182902,S26580915
204,Green Imperial-Pigeon,1,Dr Salim Ali Bird Sanctuary Thattekad,IN-KL,03 Oct 2015,L3953611,S25388771
205,Mountain Imperial-Pigeon,1,"K Gudi, BR Hills, KA",IN-KA,26 Sep 2015,L3934022,S31574698
