Row #,Species,Count,Location,S/P,Date,LocID,SubID
480,Rock Bunting,1,Manali,IN-HP,04 Jul 2017,L6132775,S38371275
481,Red-headed Bunting,6,Tungabhadra Right Canal,IN-KA,16 Jan 2016,L4873896,S31685463
482,Northern Cardinal,1,Naples beach,US-FL,22 Oct 2014,L3357295,S21780768
483,Common Rosefinch,2,Mahe Bridge,IN-JK,09 Jul 2017,L3819753,S38601389
484,Brown Bullfinch,2,Neora Valley National Park,IN-WB,20 Jun 2015,L3644134,S31716974
485,Black-headed Mountain-Finch,1,Tso Kar,IN-JK,12 Jul 2017,L2424236,S38588355
486,Fire-fronted Serin,2,Mahe Bridge,IN-JK,09 Jul 2017,L3819753,S38601389
487,House Sparrow,4,Hoskote Lake,IN-KA,07 Dec 2014,L1967106,S20826011
488,Eurasian Tree Sparrow,2,Phuentsholing,BT-12,15 Jun 2015,L5103489,S32705626
489,Chestnut-shouldered Petronia,2,Linganapura,IN-KA,16 Jul 2016,L4796102,S30742509
490,Black-winged Snowfinch,3,Upshi,IN-JK,06 Jul 2017,L4496960,S38830571
491,Streaked Weaver,2,Bande,IN-KA,20 Feb 2016,L4298778,S31560423
492,Baya Weaver,1,Ranganthittu Bird Santuary,IN-KA,05 Apr 2015,L3540081,S22696819
493,Red Avadavat,4,Hoskote Lake,IN-KA,07 Dec 2014,L1967106,S20826011
494,Indian Silverbill,4,"Hulimangala, Bangalore",IN-KA,16 Nov 2014,L2591349,S32125659
495,White-rumped Munia,1,"Old Magazine House, Ganeshgudi",IN-KA,15 Jan 2014,L2034087,S23676592
496,Black-throated Munia,1,"Bhagavathi Nature Camp, Kudremukh",IN-KA,19 Sep 2015,L3922057,S25131137
497,Scaly-breasted Munia,6,Hoskote Lake,IN-KA,07 Dec 2014,L1967106,S20826011
498,Tricolored Munia,5,"Manchanabele, Bangalore",IN-KA,16 Aug 2015,L3853140,S24641592
